Category,Product,Code,Supplier,UnitCost,UnitPrice,Inventory_Dapa
groupset,Groupset - Shimano Alivio Hollowtech w/hub,81316,Kent,100000,11750,100000
frames,Frame 26 - MOSSO FR2,81412,Avenue Bikes,28800,33000,100000
groupset,Group Set XT 2x11 no Hubs,81449,Avenue Bikes,22000,25500,100000
frames,Frame 700c- BXT Carbon Road Bike Frame w Fork,81863,CHN,19950,29950,100000
bikes,Bike 700C - BlackComb w/Claris groupset,81735,Kent,16200,20500,100000
groupset,Groupset - Deore M6000 2x10 w/ hub,10514,Kent,14350,17900,100000
bikes,Bike 26 - Fat Bike - BlackComb Alloy,81756,Kent,13000,17500,100000
forks,Fork 26 Xfussion Enix,81448,Avenue Bikes,12500,16500,100000
rims,Wheelset BXT 700C V-brake road bicycle alloy with hub,81862,CHN,12000,15000,100000
bikes,Bike 26 – Chopper,81509,Kent,11500,16500,100000
frames,Frame 27 Laux Jack full susp.,40063,,11000,15500,100000
bikes,Bike 700c,81530,Kent,9700,12900,100000
bikes,Bike 27 BlackComb Blaze MTB,81772,Kent,9200,18400,100000
bikes,Bike 29 - BlackComb Gunner,40117,Kent,8800,17600,100000
misc,Groupset - Shimano Claris (road),81744,Kent,8000,10500,100000
rims,Wheelset - 27.5 Rt s90 disc ready with hub and spokes,81894,CHN,7850,11500,100000
brakes,Disc Brake - Deore XT Hyd - BR8000,81459,Kent,7800,9500,100000
bikes,BIke 27 - KRONOS HYD MTB,81581,Avenue Bikes,7500,15000,100000
bikes,Bike 29 - KRONOS MTB Mech,81610,Avenue Bikes,7500,15000,100000
forks,Fork 29 Epicon Epixon,81447,Avenue Bikes,7450,10500,100000
bikes,Bike 27 - Kronos Alloy MTB,81332,Avenue Bikes,7200,14600,100000
groupset,Groupset - Shimano Alivio w/o Hub,40210,Kent,7150,9650,100000
bikes,Bike 26 - MTB Zillion Alloy,81086,Avenue Bikes,7000,10200,100000
bikes,Bike 26 - KRONOS HYD MTB,81582,Avenue Bikes,7000,14000,100000
groupset,Groupset Disc Brake Acera w/hub & chain complete,40058,Avenue Bikes,6900,9000,100000
parts,Groupset - Alivio nohup nochain,81616,Kent,6800,10800,100000
forks,Fork 26 Suntour Epicon/Epixon,81080,Avenue Bikes,6500,8200,100000
forks,Fork 27.5 Epixon,81413,Avenue Bikes,6500,8600,100000
frames,Frame - 26 MOSSO 2607,10059,Avenue Bikes,6500,11375,100000
groupset,Groupset Disc brake Acera w/o hub,103467,,6500,8500,100000
bikes,Bike 29 - BlackComb Alloy,81268,Kent,6400,12800,100000
bikes,Bike 27.5 - BlackComb Alloy MTB,81269,Kent,6250,9000,100000
forks,Fork 26 - Epixon 100mm Flat Black,40042,,6210,8400,100000
frames,Frame 27 - Scott 16inch,200001,Kent,100000,8700,100000
frames,Frame 29 Lepierre,200002,Kent,100000,8700,100000
frames,Frame 27 - Scott 15inch,81625,,6200,8700,100000
bikes,Bike 26 - Kronos MTB Alloy,81288,Avenue Bikes,6000,12000,100000
frames,Frame 27 - Giant 16inch,200000,Kent,100000,8500,100000
frames,Frame 26 - Giant 16/17,81057,Kent,6000,8500,100000
chainwheel,Crankset - Deore Xt M8000,81429,Avenue Bikes,5850,7800,100000
bikes,Bike 26 - Beach Cruiser,81313,Kent,5800,11600,100000
groupset,Groupset Disc brake Altus 9s Hyd (complete),10223,,5800,8000,100000
bikes,Bike 20 Calum Mizone Alloy,40145,Kent,5600,11200,100000
brakes,HYD - Deore brake set  w/ rotor IceTech,40103,Kent,5520,7520,100000
brakes,Brake,10468,,5350,6500,100000
frames,Frame 26 xTrail FORME Silver 18in,40066,Avenue Bikes,5200,8000,100000
bikes,Bike 27 - NorthStar MTB Alloy,81507,Avenue Bikes,5000,10000,100000
bikes,Bike 26 - NorthStar MTB alloy,81506,Avenue Bikes,4800,8800,100000
bikes,Bike 26/24 - Japan Surplus city/ MTB,10408,,4500,9000,100000
misc,Bike 16 - Kids Reko Folding,15030,,4400,7700,100000
groupset,Group set V-brake altus 8s (complete),10222,,4300,6000,100000
accessories,Oppo Mobile Phone,81359,,4000,5500,100000
frames,Frame 27 - xTrail Elios,81671,Avenue Bikes,3800,6000,100000
brakes,hydraulic disc brake draco,16025,,3550,4550,100000
frames,Frame 27 - Storm 27.5,81386,Avenue Bikes,3500,4500,100000
misc,Bike 20 - BMX Strider w-Rotor,15031,,3500,5450,100000
accessories,Bike 20 - Champion,40110,Avenue Bikes,3400,6800,100000
bikes,Bike 26 - Bomber MTB disc,81611,Avenue Bikes,3300,6600,100000
bikes,Bike 27 - Bomber 27.5 MTB,81882,Avenue Bikes,3300,6700,100000
chainwheel,Crankset - Shimano Deore M610 (Hollowtech),81055,Kent,3300,4500,100000
hubs,Hub F&R - Strider Hawk - Disk,15032,Avenue Bikes,3300,5000,100000
bikes,Bike 20 - Calum Magnum BMX w/rottor,40099,Kent,3250,6500,100000
bikes,Bike 20 Calum swift,40143,Kent,3250,6500,100000
bikes,Bike 20 Calum Kinesis Steel,40144,Kent,3250,6500,100000
chainwheel,Crankset Shimano Deore M6000 (x2) Hollowtech,40057,Avenue Bikes,3200,4500,100000
forks,Fork 29 - Suntour XCR,81401,Avenue Bikes,3200,4500,100000
chainwheel,Chainwheel - FSA Omega Road,40041,,3100,4400,100000
bikes,Bike 26 - City Bike kent,10012,Kent,3000,6000,100000
bikes,Bike 20 - Bomber Mech disc MTB 20,81883,Avenue Bikes,3000,6000,100000
